ID,feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,date,pollutant_value,station_id,X,Y,ID_estacion
1,UYMVD_2015_1_4_0,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 0:00,8,UYMVD_E1,572796,6137122,Ciudad Vieja 3
2,UYMVD_2015_1_4_1,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 1:00,7,UYMVD_E1,572796,6137122,Ciudad Vieja 3
3,UYMVD_2015_1_4_2,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 2:00,6,UYMVD_E1,572796,6137122,Ciudad Vieja 3
4,UYMVD_2015_1_4_3,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 3:00,4,UYMVD_E1,572796,6137122,Ciudad Vieja 3
5,UYMVD_2015_1_4_4,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 4:00,4,UYMVD_E1,572796,6137122,Ciudad Vieja 3
6,UYMVD_2015_1_4_5,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 5:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
7,UYMVD_2015_1_4_6,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 6:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
8,UYMVD_2015_1_4_7,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 7:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
9,UYMVD_2015_1_4_8,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 8:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
10,UYMVD_2015_1_4_9,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 9:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
11,UYMVD_2015_1_4_10,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 10:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
12,UYMVD_2015_1_4_11,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 11:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
13,UYMVD_2015_1_4_12,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 12:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
14,UYMVD_2015_1_4_13,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 13:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
15,UYMVD_2015_1_4_14,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 14:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
16,UYMVD_2015_1_4_15,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 15:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
17,UYMVD_2015_1_4_16,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 16:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
18,UYMVD_2015_1_4_17,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 17:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
19,UYMVD_2015_1_4_18,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 18:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
20,UYMVD_2015_1_4_19,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 19:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
21,UYMVD_2015_1_4_20,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 20:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
22,UYMVD_2015_1_4_21,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 21:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
23,UYMVD_2015_1_4_22,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 22:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
24,UYMVD_2015_1_4_23,UYMVD_PM2_b,1,PM2,ug/m3,04/01/2015 23:00,4,UYMVD_E1,572796,6137122,Ciudad Vieja 3
25,UYMVD_2015_1_5_0,UYMVD_PM2_b,1,PM2,ug/m3,05/01/2015 0:00,6,UYMVD_E1,572796,6137122,Ciudad Vieja 3
26,UYMVD_2015_1_5_1,UYMVD_PM2_b,1,PM2,ug/m3,05/01/2015 1:00,4,UYMVD_E1,572796,6137122,Ciudad Vieja 3
27,UYMVD_2015_1_5_2,UYMVD_PM2_b,1,PM2,ug/m3,05/01/2015 2:00,5,UYMVD_E1,572796,6137122,Ciudad Vieja 3
28,UYMVD_2015_1_5_3,UYMVD_PM2_b,1,PM2,ug/m3,05/01/2015 3:00,6,UYMVD_E1,572796,6137122,Ciudad Vieja 3
29,UYMVD_2015_1_5_4,UYMVD_PM2_b,1,PM2,ug/m3,05/01/2015 4:00,6,UYMVD_E1,572796,6137122,Ciudad Vieja 3
30,UYMVD_2015_1_5_5,UYMVD_PM2_b,1,PM2,ug/m3,05/01/2015 5:00,6,UYMVD_E1,572796,6137122,Ciudad Vieja 3
31,UYMVD_2015_1_5_6,UYMVD_PM2_b,1,PM2,ug/m3,05/01/2015 6:00,7,UYMVD_E1,572796,6137122,Ciudad Vieja 3
32,UYMVD_2015_1_5_7,UYMVD_PM2_b,1,PM2,ug/m3,05/01/2015 7:00,7,UYMVD_E1,572796,6137122,Ciudad Vieja 3
33,UYMVD_2015_1_5_8,UYMVD_PM2_b,1,PM2,ug/m3,05/01/2015 8:00,8,UYMVD_E1,572796,6137122,Ciudad Vieja 3
34,UYMVD_2015_1_5_9,UYMVD_PM2_b,1,PM2,ug/m3,05/01/2015 9:00,6,UYMVD_E1,572796,6137122,Ciudad Vieja 3
35,UYMVD_2015_1_5_10,UYMVD_PM2_b,1,PM2,ug/m3,05/01/2015 10:00,6,UYMVD_E1,572796,6137122,Ciudad Vieja 3
36,UYMVD_2015_1_5_11,UYMVD_PM2_b,1,PM2,ug/m3,05/01/2015 11:00,5,UYMVD_E1,572796,6137122,Ciudad Vieja 3
37,UYMVD_2015_1_5_12,UYMVD_PM2_b,1,PM2,ug/m3,05/01/2015 12:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
38,UYMVD_2015_1_5_13,UYMVD_PM2_b,1,PM2,ug/m3,05/01/2015 13:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
39,UYMVD_2015_1_5_14,UYMVD_PM2_b,1,PM2,ug/m3,05/01/2015 14:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
40,UYMVD_2015_1_5_15,UYMVD_PM2_b,1,PM2,ug/m3,05/01/2015 15:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
41,UYMVD_2015_1_5_16,UYMVD_PM2_b,1,PM2,ug/m3,05/01/2015 16:00,3,UYMVD_E1,572796,6137122,Ciudad Vieja 3
42,UYMVD_2015_1_5_17,UYMVD_PM2_b,1,PM2,ug/m3,05/01/2015 17:00,4,UYMVD_E1,572796,6137122,Ciudad Vieja 3
43,UYMVD_2015_1_5_18,UYMVD_PM2_b,1,PM2,ug/m3,05/01/2015 18:00,5,UYMVD_E1,572796,6137122,Ciudad Vieja 3
