,feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,date,pollutant_value,station_id,X,Y,ID_estacion
1,UYMVD_2012_1_4_24,UYMVD_SO2_T,24,SO2,ug/m3,04/01/2012,9,UYMVD_E1,572831,6136774,Ciudad Vieja 1
2,UYMVD_2012_1_10_24,UYMVD_SO2_T,24,SO2,ug/m3,10/01/2012,24,UYMVD_E1,572831,6136774,Ciudad Vieja 1
3,UYMVD_2012_1_16_24,UYMVD_SO2_T,24,SO2,ug/m3,16/01/2012,40,UYMVD_E1,572831,6136774,Ciudad Vieja 1
4,UYMVD_2012_1_22_24,UYMVD_SO2_T,24,SO2,ug/m3,22/01/2012,18,UYMVD_E1,572831,6136774,Ciudad Vieja 1
5,UYMVD_2012_1_28_24,UYMVD_SO2_T,24,SO2,ug/m3,28/01/2012,16,UYMVD_E1,572831,6136774,Ciudad Vieja 1
6,UYMVD_2012_2_3_24,UYMVD_SO2_T,24,SO2,ug/m3,03/02/2012,13,UYMVD_E1,572831,6136774,Ciudad Vieja 1
7,UYMVD_2012_2_9_24,UYMVD_SO2_T,24,SO2,ug/m3,09/02/2012,5,UYMVD_E1,572831,6136774,Ciudad Vieja 1
8,UYMVD_2012_2_15_24,UYMVD_SO2_T,24,SO2,ug/m3,15/02/2012,3,UYMVD_E1,572831,6136774,Ciudad Vieja 1
9,UYMVD_2012_2_21_24,UYMVD_SO2_T,24,SO2,ug/m3,21/02/2012,9,UYMVD_E1,572831,6136774,Ciudad Vieja 1
10,UYMVD_2012_2_27_24,UYMVD_SO2_T,24,SO2,ug/m3,27/02/2012,0,UYMVD_E1,572831,6136774,Ciudad Vieja 1
11,UYMVD_2012_3_4_24,UYMVD_SO2_T,24,SO2,ug/m3,04/03/2012,25,UYMVD_E1,572831,6136774,Ciudad Vieja 1
12,UYMVD_2012_3_10_24,UYMVD_SO2_T,24,SO2,ug/m3,10/03/2012,34,UYMVD_E1,572831,6136774,Ciudad Vieja 1
13,UYMVD_2012_3_16_24,UYMVD_SO2_T,24,SO2,ug/m3,16/03/2012,34,UYMVD_E1,572831,6136774,Ciudad Vieja 1
14,UYMVD_2012_3_22_24,UYMVD_SO2_T,24,SO2,ug/m3,22/03/2012,18,UYMVD_E1,572831,6136774,Ciudad Vieja 1
