ID,feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,date,pollutant_value,station_id,X,Y,ID_estacion
1,UYMVD_2014_3_16_0,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 0:00,37,UYMVD_E5,576214,6138342,Tres Cruces 2
2,UYMVD_2014_3_16_1,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 1:00,27,UYMVD_E5,576214,6138342,Tres Cruces 2
3,UYMVD_2014_3_16_2,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 2:00,27,UYMVD_E5,576214,6138342,Tres Cruces 2
4,UYMVD_2014_3_16_3,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 3:00,23,UYMVD_E5,576214,6138342,Tres Cruces 2
5,UYMVD_2014_3_16_4,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 4:00,16,UYMVD_E5,576214,6138342,Tres Cruces 2
6,UYMVD_2014_3_16_5,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 5:00,11,UYMVD_E5,576214,6138342,Tres Cruces 2
7,UYMVD_2014_3_16_6,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 6:00,12,UYMVD_E5,576214,6138342,Tres Cruces 2
8,UYMVD_2014_3_16_7,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 7:00,6,UYMVD_E5,576214,6138342,Tres Cruces 2
9,UYMVD_2014_3_16_8,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 8:00,2,UYMVD_E5,576214,6138342,Tres Cruces 2
10,UYMVD_2014_3_16_9,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 9:00,2,UYMVD_E5,576214,6138342,Tres Cruces 2
11,UYMVD_2014_3_16_10,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 10:00,2,UYMVD_E5,576214,6138342,Tres Cruces 2
12,UYMVD_2014_3_16_11,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 11:00,2,UYMVD_E5,576214,6138342,Tres Cruces 2
13,UYMVD_2014_3_16_12,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 12:00,15,UYMVD_E5,576214,6138342,Tres Cruces 2
14,UYMVD_2014_3_16_13,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 13:00,14,UYMVD_E5,576214,6138342,Tres Cruces 2
15,UYMVD_2014_3_16_14,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 14:00,13,UYMVD_E5,576214,6138342,Tres Cruces 2
16,UYMVD_2014_3_16_15,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 15:00,14,UYMVD_E5,576214,6138342,Tres Cruces 2
17,UYMVD_2014_3_16_16,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 16:00,28,UYMVD_E5,576214,6138342,Tres Cruces 2
18,UYMVD_2014_3_16_17,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 17:00,20,UYMVD_E5,576214,6138342,Tres Cruces 2
19,UYMVD_2014_3_16_18,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 18:00,24,UYMVD_E5,576214,6138342,Tres Cruces 2
20,UYMVD_2014_3_16_19,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 19:00,20,UYMVD_E5,576214,6138342,Tres Cruces 2
21,UYMVD_2014_3_16_20,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 20:00,35,UYMVD_E5,576214,6138342,Tres Cruces 2
22,UYMVD_2014_3_16_21,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 21:00,42,UYMVD_E5,576214,6138342,Tres Cruces 2
23,UYMVD_2014_3_16_22,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 22:00,21,UYMVD_E5,576214,6138342,Tres Cruces 2
24,UYMVD_2014_3_16_23,UYMVD_PM10_2,1,PM10,ug/m3,16/03/2014 23:00,41,UYMVD_E5,576214,6138342,Tres Cruces 2
25,UYMVD_2014_3_17_0,UYMVD_PM10_2,1,PM10,ug/m3,17/03/2014 0:00,20,UYMVD_E5,576214,6138342,Tres Cruces 2
26,UYMVD_2014_3_17_1,UYMVD_PM10_2,1,PM10,ug/m3,17/03/2014 1:00,23,UYMVD_E5,576214,6138342,Tres Cruces 2
27,UYMVD_2014_3_17_2,UYMVD_PM10_2,1,PM10,ug/m3,17/03/2014 2:00,14,UYMVD_E5,576214,6138342,Tres Cruces 2
28,UYMVD_2014_3_17_3,UYMVD_PM10_2,1,PM10,ug/m3,17/03/2014 3:00,15,UYMVD_E5,576214,6138342,Tres Cruces 2
29,UYMVD_2014_3_17_4,UYMVD_PM10_2,1,PM10,ug/m3,17/03/2014 4:00,14,UYMVD_E5,576214,6138342,Tres Cruces 2
30,UYMVD_2014_3_17_5,UYMVD_PM10_2,1,PM10,ug/m3,17/03/2014 5:00,14,UYMVD_E5,576214,6138342,Tres Cruces 2
31,UYMVD_2014_3_17_6,UYMVD_PM10_2,1,PM10,ug/m3,17/03/2014 6:00,20,UYMVD_E5,576214,6138342,Tres Cruces 2
32,UYMVD_2014_3_17_7,UYMVD_PM10_2,1,PM10,ug/m3,17/03/2014 7:00,18,UYMVD_E5,576214,6138342,Tres Cruces 2
33,UYMVD_2014_3_17_8,UYMVD_PM10_2,1,PM10,ug/m3,17/03/2014 8:00,17,UYMVD_E5,576214,6138342,Tres Cruces 2
34,UYMVD_2014_3_17_9,UYMVD_PM10_2,1,PM10,ug/m3,17/03/2014 9:00,16,UYMVD_E5,576214,6138342,Tres Cruces 2
35,UYMVD_2014_3_17_10,UYMVD_PM10_2,1,PM10,ug/m3,17/03/2014 10:00,15,UYMVD_E5,576214,6138342,Tres Cruces 2
36,UYMVD_2014_3_17_11,UYMVD_PM10_2,1,PM10,ug/m3,17/03/2014 11:00,10,UYMVD_E5,576214,6138342,Tres Cruces 2
37,UYMVD_2014_3_17_12,UYMVD_PM10_2,1,PM10,ug/m3,17/03/2014 12:00,29,UYMVD_E5,576214,6138342,Tres Cruces 2
38,UYMVD_2014_3_17_13,UYMVD_PM10_2,1,PM10,ug/m3,17/03/2014 13:00,38,UYMVD_E5,576214,6138342,Tres Cruces 2
