,feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,date,pollutant_value,station_id,X,Y,ID_estacion,,
989,UYMVD_2016_8_22_24,UYMVD_SO2_T,24,SO2,ug/m3,22/08/2016,39,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,BUENA
985,UYMVD_2016_8_16_24,UYMVD_SO2_T,24,SO2,ug/m3,16/08/2016,24,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,BUENA
946,UYMVD_2016_6_17_24,UYMVD_SO2_T,24,SO2,ug/m3,17/06/2016,18,UYMVD_E1,572831,6136774,Ciudad Vieja 1,,MUY BUENO
981,UYMVD_2016_8_10_24,UYMVD_SO2_T,24,SO2,ug/m3,10/8/16,16,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
938,UYMVD_2016_6_5_24,UYMVD_SO2_T,24,SO2,ug/m3,5/6/16,11,UYMVD_E1,572831,6136774,Ciudad Vieja 1,,MUY BUENO
970,UYMVD_2016_7_23_24,UYMVD_SO2_T,24,SO2,ug/m3,23/07/2016,10,UYMVD_E1,572831,6136774,Ciudad Vieja 1,,MUY BUENO
847,UYMVD_2016_1_7_24,UYMVD_SO2_T,24,SO2,ug/m3,7/1/16,9,UYMVD_E1,572831,6136774,Ciudad Vieja 1,,MUY BUENO
871,UYMVD_2016_2_12_24,UYMVD_SO2_T,24,SO2,ug/m3,12/2/16,9,UYMVD_E1,572831,6136774,Ciudad Vieja 1,,MUY BUENO
1037,UYMVD_2016_11_14_24,UYMVD_SO2_T,24,SO2,ug/m3,14/11/2016,9,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
942,UYMVD_2016_6_11_24,UYMVD_SO2_T,24,SO2,ug/m3,11/6/16,8,UYMVD_E1,572831,6136774,Ciudad Vieja 1,,MUY BUENO
974,UYMVD_2016_7_29_24,UYMVD_SO2_T,24,SO2,ug/m3,29/07/2016,8,UYMVD_E1,572831,6136774,Ciudad Vieja 1,,MUY BUENO
1001,UYMVD_2016_9_9_24,UYMVD_SO2_T,24,SO2,ug/m3,9/9/16,8,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
950,UYMVD_2016_6_23_24,UYMVD_SO2_T,24,SO2,ug/m3,23/06/2016,7,UYMVD_E1,572831,6136774,Ciudad Vieja 1,,MUY BUENO
922,UYMVD_2016_5_12_24,UYMVD_SO2_T,24,SO2,ug/m3,12/5/16,6,UYMVD_E1,572831,6136774,Ciudad Vieja 1,,MUY BUENO
1013,UYMVD_2016_9_27_24,UYMVD_SO2_T,24,SO2,ug/m3,27/09/2016,6,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
1045,UYMVD_2016_12_2_24,UYMVD_SO2_T,24,SO2,ug/m3,2/12/16,5,UYMVD_E1,572832,6136774,Ciudad Vieja 1,,MUY BUENO
875,UYMVD_2016_2_18_24,UYMVD_SO2_T,24,SO2,ug/m3,18/02/2016,4,UYMVD_E1,572831,6136774,Ciudad Vieja 1,,MUY BUENO
879,UYMVD_2016_2_24_24,UYMVD_SO2_T,24,SO2,ug/m3,24/02/2016,4,UYMVD_E1,572831,6136774,Ciudad Vieja 1,,MUY BUENO
977,UYMVD_2016_8_4_24,UYMVD_SO2_T,24,SO2,ug/m3,4/8/16,4,UYMVD_E1,572831,6136774,Ciudad Vieja 1,,MUY BUENO
