ID,pollutant_id,pollutant_averaging,date,pollutant_value,pollutant_unit,station_id,X,Y,ID_estacion,method_id
1,SO2,24,04/01/2012,9,ug/m3,UYMVD_E1,572831,6136774,Ciudad Vieja 1,UYMVD_SO2_T
2,SO2,24,04/01/2012,6,ug/m3,UYMVD_E4,573289,6142937,Prado,UYMVD_SO2_T
3,SO2,24,04/01/2012,9,ug/m3,UYMVD_E7,583737,6139486,Portones de Carrasco 2,UYMVD_SO2_T
4,SO2,24,10/01/2012,24,ug/m3,UYMVD_E1,572831,6136774,Ciudad Vieja 1,UYMVD_SO2_T
5,SO2,24,10/01/2012,4,ug/m3,UYMVD_E4,573289,6142937,Prado,UYMVD_SO2_T
6,SO2,24,10/01/2012,6,ug/m3,UYMVD_E7,583737,6139486,Portones de Carrasco 2,UYMVD_SO2_T
7,SO2,24,16/01/2012,40,ug/m3,UYMVD_E1,572831,6136774,Ciudad Vieja 1,UYMVD_SO2_T
8,SO2,24,16/01/2012,6,ug/m3,UYMVD_E4,573289,6142937,Prado,UYMVD_SO2_T
9,SO2,24,16/01/2012,8,ug/m3,UYMVD_E7,583737,6139486,Portones de Carrasco 2,UYMVD_SO2_T
10,SO2,24,22/01/2012,18,ug/m3,UYMVD_E1,572831,6136774,Ciudad Vieja 1,UYMVD_SO2_T
11,SO2,24,22/01/2012,4,ug/m3,UYMVD_E4,573289,6142937,Prado,UYMVD_SO2_T
12,SO2,24,22/01/2012,8,ug/m3,UYMVD_E7,583737,6139486,Portones de Carrasco 2,UYMVD_SO2_T
13,SO2,24,28/01/2012,16,ug/m3,UYMVD_E1,572831,6136774,Ciudad Vieja 1,UYMVD_SO2_T
14,SO2,24,28/01/2012,6,ug/m3,UYMVD_E4,573289,6142937,Prado,UYMVD_SO2_T
15,SO2,24,03/02/2012,13,ug/m3,UYMVD_E1,572831,6136774,Ciudad Vieja 1,UYMVD_SO2_T
16,SO2,24,03/02/2012,6,ug/m3,UYMVD_E4,573289,6142937,Prado,UYMVD_SO2_T
17,SO2,24,03/02/2012,23,ug/m3,UYMVD_E7,583737,6139486,Portones de Carrasco 2,UYMVD_SO2_T
18,SO2,24,09/02/2012,5,ug/m3,UYMVD_E1,572831,6136774,Ciudad Vieja 1,UYMVD_SO2_T
19,SO2,24,09/02/2012,4,ug/m3,UYMVD_E4,573289,6142937,Prado,UYMVD_SO2_T
20,SO2,24,09/02/2012,6,ug/m3,UYMVD_E7,583737,6139486,Portones de Carrasco 2,UYMVD_SO2_T
21,SO2,24,15/02/2012,3,ug/m3,UYMVD_E1,572831,6136774,Ciudad Vieja 1,UYMVD_SO2_T
22,SO2,24,21/02/2012,9,ug/m3,UYMVD_E1,572831,6136774,Ciudad Vieja 1,UYMVD_SO2_T
23,SO2,24,21/02/2012,9,ug/m3,UYMVD_E4,573289,6142937,Prado,UYMVD_SO2_T
24,SO2,24,21/02/2012,10,ug/m3,UYMVD_E7,583737,6139486,Portones de Carrasco 2,UYMVD_SO2_T
25,SO2,24,27/02/2012,19,ug/m3,UYMVD_E4,573289,6142937,Prado,UYMVD_SO2_T
26,SO2,24,04/03/2012,25,ug/m3,UYMVD_E1,572831,6136774,Ciudad Vieja 1,UYMVD_SO2_T
27,SO2,24,04/03/2012,8,ug/m3,UYMVD_E3,570883,6142541,La Teja 2,UYMVD_SO2_T
28,SO2,24,04/03/2012,8,ug/m3,UYMVD_E7,583737,6139486,Portones de Carrasco 2,UYMVD_SO2_T
29,SO2,24,10/03/2012,34,ug/m3,UYMVD_E1,572831,6136774,Ciudad Vieja 1,UYMVD_SO2_T
30,SO2,24,10/03/2012,7,ug/m3,UYMVD_E3,570883,6142541,La Teja 2,UYMVD_SO2_T
31,SO2,24,10/03/2012,10,ug/m3,UYMVD_E7,583737,6139486,Portones de Carrasco 2,UYMVD_SO2_T
