ID,pollutant_id,pollutant_averaging,date,pollutant_value,pollutant_unit,station_id,X,Y,ID_estacion,method_id
1,NO2,1,04/01/2015 0:00,16,ug/m3,UYMVD_E5,576214,6138342,Tres Cruces 2,UYMVD_NO2_2
2,NO2,1,04/01/2015 1:00,11,ug/m3,UYMVD_E5,576214,6138342,Tres Cruces 2,UYMVD_NO2_2
3,NO2,1,04/01/2015 2:00,11,ug/m3,UYMVD_E5,576214,6138342,Tres Cruces 2,UYMVD_NO2_2
4,NO2,1,04/01/2015 3:00,7,ug/m3,UYMVD_E5,576214,6138342,Tres Cruces 2,UYMVD_NO2_2
5,NO2,1,04/01/2015 4:00,12,ug/m3,UYMVD_E5,576214,6138342,Tres Cruces 2,UYMVD_NO2_2
6,NO2,1,04/01/2015 5:00,18,ug/m3,UYMVD_E5,576214,6138342,Tres Cruces 2,UYMVD_NO2_2
7,NO2,1,04/01/2015 6:00,16,ug/m3,UYMVD_E5,576214,6138342,Tres Cruces 2,UYMVD_NO2_2
8,NO2,1,04/01/2015 7:00,22,ug/m3,UYMVD_E5,576214,6138342,Tres Cruces 2,UYMVD_NO2_2
9,NO2,1,04/01/2015 8:00,16,ug/m3,UYMVD_E5,576214,6138342,Tres Cruces 2,UYMVD_NO2_2
10,NO2,1,04/01/2015 9:00,13,ug/m3,UYMVD_E5,576214,6138342,Tres Cruces 2,UYMVD_NO2_2
11,NO2,1,04/01/2015 10:00,11,ug/m3,UYMVD_E5,576214,6138342,Tres Cruces 2,UYMVD_NO2_2
12,NO2,1,04/01/2015 11:00,17,ug/m3,UYMVD_E5,576214,6138342,Tres Cruces 2,UYMVD_NO2_2
13,NO2,1,04/01/2015 12:00,13,ug/m3,UYMVD_E5,576214,6138342,Tres Cruces 2,UYMVD_NO2_2
14,NO2,1,04/01/2015 13:00,12,ug/m3,UYMVD_E5,576214,6138342,Tres Cruces 2,UYMVD_NO2_2
15,NO2,1,04/01/2015 14:00,10,ug/m3,UYMVD_E5,576214,6138342,Tres Cruces 2,UYMVD_NO2_2
16,NO2,1,04/01/2015 15:00,12,ug/m3,UYMVD_E5,576214,6138342,Tres Cruces 2,UYMVD_NO2_2
