id_node	sensor	timestamp	valor_v
AQM60	PM10	2017-03-01 00:00:48	59138
AQM60	PM10	2017-03-01 00:02:48	57787
AQM60	PM10	2017-03-01 00:05:19	54746
AQM60	PM10	2017-03-01 00:07:19	55875
AQM60	PM10	2017-03-01 00:09:19	57302
AQM60	PM10	2017-03-01 00:11:19	56774
AQM60	PM10	2017-03-01 00:13:19	55281
AQM60	PM10	2017-03-01 00:15:19	55875
AQM60	PM10	2017-03-01 00:17:19	58293
AQM60	PM10	2017-03-01 00:19:19	57237
AQM60	PM10	2017-03-01 00:21:19	56,03
AQM60	PM10	2017-03-01 00:23:19	57866
AQM60	PM10	2017-03-01 00:25:19	58449
AQM60	PM10	2017-03-01 00:27:19	56774
AQM60	PM10	2017-03-01 00:29:19	56489
AQM60	PM10	2017-03-01 00:31:19	54926
AQM60	PM10	2017-03-01 00:33:19	51,38
AQM60	PM10	2017-03-01 00:35:19	50,62
AQM60	PM10	2017-03-01 00:37:19	47661
AQM60	PM10	2017-03-01 00:39:19	47775
AQM60	PM10	2017-03-01 00:41:19	47888
AQM60	PM10	2017-03-01 00:43:19	49348
AQM60	PM10	2017-03-01 00:45:19	48515
AQM60	PM10	2017-03-01 00:47:19	46971
AQM60	PM10	2017-03-01 00:49:19	46504
AQM60	PM10	2017-03-01 00:51:19	47226
AQM60	PM10	2017-03-01 00:53:19	43282
AQM60	PM10	2017-03-01 00:55:19	42,32
AQM60	PM10	2017-03-01 00:57:19	38861
AQM60	PM10	2017-03-01 00:59:19	37848
AQM60	PM10	2017-03-01 01:01:19	37495
AQM60	PM10	2017-03-01 01:03:58	37436
AQM60	PM10	2017-03-01 01:05:58	37169
AQM60	PM10	2017-03-01 01:07:58	36661
AQM60	PM10	2017-03-01 01:09:58	32283
AQM60	PM10	2017-03-01 01:11:58	32612
AQM60	PM10	2017-03-01 01:13:58	30472
AQM60	PM10	2017-03-01 01:15:58	29437
AQM60	PM10	2017-03-01 01:17:58	29854
AQM60	PM10	2017-03-01 01:19:58	30404
AQM60	PM10	2017-03-01 01:21:58	29333
AQM60	PM10	2017-03-01 01:23:58	29681
AQM60	PM10	2017-03-01 01:25:58	27052
AQM60	PM10	2017-03-01 01:27:58	28912
AQM60	PM10	2017-03-01 01:29:58	27234
AQM60	PM10	2017-03-01 01:31:58	26,43
AQM60	PM10	2017-03-01 01:33:58	24939
AQM60	PM10	2017-03-01 01:35:58	24939
AQM60	PM10	2017-03-01 01:37:58	25503
AQM60	PM10	2017-03-01 01:39:58	22471
AQM60	PM10	2017-03-01 01:41:58	23795
AQM60	PM10	2017-03-01 01:43:58	21599
AQM60	PM10	2017-03-01 01:45:58	22746
AQM60	PM10	2017-03-01 01:47:58	23254
AQM60	PM10	2017-03-01 01:49:58	24,37
AQM60	PM10	2017-03-01 01:51:58	25466
AQM60	PM10	2017-03-01 01:53:58	25764
AQM60	PM10	2017-03-01 01:55:58	25801
AQM60	PM10	2017-03-01 01:57:58	27703
AQM60	PM10	2017-03-01 01:59:58	29403
AQM60	PM10	2017-03-01 02:04:00	56064
AQM60	PM10	2017-03-01 02:06:00	51,38
