ID,feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,date,pollutant_value,station_id,X,Y,ID_estacion
1,UYMVD_2014_4_6_0,UYMVD_PM10_2,1,PM10,ug/m3,06/04/2014 0:00,21,UYMVD_E1,572796,6137122,Ciudad Vieja 3
2,UYMVD_2014_4_6_1,UYMVD_PM10_2,1,PM10,ug/m3,06/04/2014 1:00,20,UYMVD_E1,572796,6137122,Ciudad Vieja 3
3,UYMVD_2014_4_6_2,UYMVD_PM10_2,1,PM10,ug/m3,06/04/2014 2:00,19,UYMVD_E1,572796,6137122,Ciudad Vieja 3
4,UYMVD_2014_4_6_3,UYMVD_PM10_2,1,PM10,ug/m3,06/04/2014 3:00,22,UYMVD_E1,572796,6137122,Ciudad Vieja 3
5,UYMVD_2014_4_6_4,UYMVD_PM10_2,1,PM10,ug/m3,06/04/2014 4:00,26,UYMVD_E1,572796,6137122,Ciudad Vieja 3
6,UYMVD_2014_4_6_5,UYMVD_PM10_2,1,PM10,ug/m3,06/04/2014 5:00,26,UYMVD_E1,572796,6137122,Ciudad Vieja 3
7,UYMVD_2014_4_6_6,UYMVD_PM10_2,1,PM10,ug/m3,06/04/2014 6:00,24,UYMVD_E1,572796,6137122,Ciudad Vieja 3
8,UYMVD_2014_4_6_7,UYMVD_PM10_2,1,PM10,ug/m3,06/04/2014 7:00,23,UYMVD_E1,572796,6137122,Ciudad Vieja 3
9,UYMVD_2014_4_6_8,UYMVD_PM10_2,1,PM10,ug/m3,06/04/2014 8:00,22,UYMVD_E1,572796,6137122,Ciudad Vieja 3
10,UYMVD_2014_4_6_9,UYMVD_PM10_2,1,PM10,ug/m3,06/04/2014 9:00,20,UYMVD_E1,572796,6137122,Ciudad Vieja 3
11,UYMVD_2014_4_6_10,UYMVD_PM10_2,1,PM10,ug/m3,06/04/2014 10:00,23,UYMVD_E1,572796,6137122,Ciudad Vieja 3
12,UYMVD_2014_4_6_11,UYMVD_PM10_2,1,PM10,ug/m3,06/04/2014 11:00,29,UYMVD_E1,572796,6137122,Ciudad Vieja 3
13,UYMVD_2014_4_6_12,UYMVD_PM10_2,1,PM10,ug/m3,06/04/2014 12:00,40,UYMVD_E1,572796,6137122,Ciudad Vieja 3
14,UYMVD_2014_4_6_13,UYMVD_PM10_2,1,PM10,ug/m3,06/04/2014 13:00,48,UYMVD_E1,572796,6137122,Ciudad Vieja 3
15,UYMVD_2014_4_6_14,UYMVD_PM10_2,1,PM10,ug/m3,06/04/2014 14:00,49,UYMVD_E1,572796,6137122,Ciudad Vieja 3
16,UYMVD_2014_4_6_15,UYMVD_PM10_2,1,PM10,ug/m3,06/04/2014 15:00,46,UYMVD_E1,572796,6137122,Ciudad Vieja 3
17,UYMVD_2014_4_6_16,UYMVD_PM10_2,1,PM10,ug/m3,06/04/2014 16:00,28,UYMVD_E1,572796,6137122,Ciudad Vieja 3
18,UYMVD_2014_4_6_17,UYMVD_PM10_2,1,PM10,ug/m3,06/04/2014 17:00,24,UYMVD_E1,572796,6137122,Ciudad Vieja 3
19,UYMVD_2014_4_6_18,UYMVD_PM10_2,1,PM10,ug/m3,06/04/2014 18:00,27,UYMVD_E1,572796,6137122,Ciudad Vieja 3
20,UYMVD_2014_4_6_19,UYMVD_PM10_2,1,PM10,ug/m3,06/04/2014 19:00,25,UYMVD_E1,572796,6137122,Ciudad Vieja 3
