ID,feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,date,pollutant_value,station_id,X,Y,ID_estacion
124,UYMVD_2005_6_29_24,UYMVD_HN,24,HN,ug/m3,29/06/2005,5,UYMVD_E1,572831,6136774,Ciudad Vieja 1
125,UYMVD_2005_6_30_24,UYMVD_HN,24,HN,ug/m3,30/06/2005,4,UYMVD_E1,572831,6136774,Ciudad Vieja 1
126,UYMVD_2005_7_6_24,UYMVD_HN,24,HN,ug/m3,06/07/2005,6,UYMVD_E1,572831,6136774,Ciudad Vieja 1
127,UYMVD_2005_7_9_24,UYMVD_HN,24,HN,ug/m3,09/07/2005,8,UYMVD_E1,572831,6136774,Ciudad Vieja 1
128,UYMVD_2005_7_11_24,UYMVD_HN,24,HN,ug/m3,11/07/2005,4,UYMVD_E1,572831,6136774,Ciudad Vieja 1
129,UYMVD_2005_7_12_24,UYMVD_HN,24,HN,ug/m3,12/07/2005,3,UYMVD_E1,572831,6136774,Ciudad Vieja 1
130,UYMVD_2005_7_13_24,UYMVD_HN,24,HN,ug/m3,13/07/2005,6,UYMVD_E1,572831,6136774,Ciudad Vieja 1
131,UYMVD_2005_7_14_24,UYMVD_HN,24,HN,ug/m3,14/07/2005,3,UYMVD_E1,572831,6136774,Ciudad Vieja 1
132,UYMVD_2005_7_19_24,UYMVD_HN,24,HN,ug/m3,19/07/2005,8,UYMVD_E1,572831,6136774,Ciudad Vieja 1
133,UYMVD_2005_7_22_24,UYMVD_HN,24,HN,ug/m3,22/07/2005,2,UYMVD_E1,572831,6136774,Ciudad Vieja 1
134,UYMVD_2005_7_27_24,UYMVD_HN,24,HN,ug/m3,27/07/2005,6,UYMVD_E1,572831,6136774,Ciudad Vieja 1
135,UYMVD_2005_7_28_24,UYMVD_HN,24,HN,ug/m3,28/07/2005,8,UYMVD_E1,572831,6136774,Ciudad Vieja 1
136,UYMVD_2005_7_29_24,UYMVD_HN,24,HN,ug/m3,29/07/2005,5,UYMVD_E1,572831,6136774,Ciudad Vieja 1
137,UYMVD_2005_8_1_24,UYMVD_HN,24,HN,ug/m3,01/08/2005,0,UYMVD_E1,572831,6136774,Ciudad Vieja 1
138,UYMVD_2005_8_2_24,UYMVD_HN,24,HN,ug/m3,02/08/2005,0,UYMVD_E1,572831,6136774,Ciudad Vieja 1
139,UYMVD_2005_8_4_24,UYMVD_HN,24,HN,ug/m3,04/08/2005,0,UYMVD_E1,572831,6136774,Ciudad Vieja 1
140,UYMVD_2005_8_8_24,UYMVD_HN,24,HN,ug/m3,08/08/2005,0,UYMVD_E1,572831,6136774,Ciudad Vieja 1
141,UYMVD_2005_8_9_24,UYMVD_HN,24,HN,ug/m3,09/08/2005,0,UYMVD_E1,572831,6136774,Ciudad Vieja 1
142,UYMVD_2005_8_11_24,UYMVD_HN,24,HN,ug/m3,11/08/2005,0,UYMVD_E1,572831,6136774,Ciudad Vieja 1
143,UYMVD_2005_9_14_24,UYMVD_HN,24,HN,ug/m3,14/09/2005,9,UYMVD_E1,572831,6136774,Ciudad Vieja 1
144,UYMVD_2005_9_16_24,UYMVD_HN,24,HN,ug/m3,16/09/2005,8,UYMVD_E1,572831,6136774,Ciudad Vieja 1
145,UYMVD_2005_9_19_24,UYMVD_HN,24,HN,ug/m3,19/09/2005,17,UYMVD_E1,572831,6136774,Ciudad Vieja 1
146,UYMVD_2005_9_20_24,UYMVD_HN,24,HN,ug/m3,20/09/2005,17,UYMVD_E1,572831,6136774,Ciudad Vieja 1
147,UYMVD_2005_9_21_24,UYMVD_HN,24,HN,ug/m3,21/09/2005,18,UYMVD_E1,572831,6136774,Ciudad Vieja 1
148,UYMVD_2005_9_27_24,UYMVD_HN,24,HN,ug/m3,27/09/2005,31,UYMVD_E1,572831,6136774,Ciudad Vieja 1
149,UYMVD_2005_9_29_24,UYMVD_HN,24,HN,ug/m3,29/09/2005,10,UYMVD_E1,572831,6136774,Ciudad Vieja 1
150,UYMVD_2005_10_5_24,UYMVD_HN,24,HN,ug/m3,05/10/2005,10,UYMVD_E1,572831,6136774,Ciudad Vieja 1
151,UYMVD_2005_10_6_24,UYMVD_HN,24,HN,ug/m3,06/10/2005,78,UYMVD_E1,572831,6136774,Ciudad Vieja 1
152,UYMVD_2005_10_11_24,UYMVD_HN,24,HN,ug/m3,11/10/2005,43,UYMVD_E1,572831,6136774,Ciudad Vieja 1
153,UYMVD_2005_10_12_24,UYMVD_HN,24,HN,ug/m3,12/10/2005,22,UYMVD_E1,572831,6136774,Ciudad Vieja 1
154,UYMVD_2005_10_14_24,UYMVD_HN,24,HN,ug/m3,14/10/2005,15,UYMVD_E1,572831,6136774,Ciudad Vieja 1
155,UYMVD_2005_10_17_24,UYMVD_HN,24,HN,ug/m3,17/10/2005,30,UYMVD_E1,572831,6136774,Ciudad Vieja 1
156,UYMVD_2005_10_18_24,UYMVD_HN,24,HN,ug/m3,18/10/2005,26,UYMVD_E1,572831,6136774,Ciudad Vieja 1
157,UYMVD_2005_10_19_24,UYMVD_HN,24,HN,ug/m3,19/10/2005,20,UYMVD_E1,572831,6136774,Ciudad Vieja 1
158,UYMVD_2005_10_20_24,UYMVD_HN,24,HN,ug/m3,20/10/2005,18,UYMVD_E1,572831,6136774,Ciudad Vieja 1
159,UYMVD_2005_10_27_24,UYMVD_HN,24,HN,ug/m3,27/10/2005,8,UYMVD_E1,572831,6136774,Ciudad Vieja 1
160,UYMVD_2005_10_27_24,UYMVD_HN,24,HN,ug/m3,27/10/2005,161,UYMVD_E1,572831,6136774,Ciudad Vieja 1
161,UYMVD_2005_10_31_24,UYMVD_HN,24,HN,ug/m3,31/10/2005,12,UYMVD_E1,572831,6136774,Ciudad Vieja 1
162,UYMVD_2005_11_1_24,UYMVD_HN,24,HN,ug/m3,01/11/2005,25,UYMVD_E1,572831,6136774,Ciudad Vieja 1
163,UYMVD_2005_11_3_24,UYMVD_HN,24,HN,ug/m3,03/11/2005,10,UYMVD_E1,572831,6136774,Ciudad Vieja 1
164,UYMVD_2005_11_7_24,UYMVD_HN,24,HN,ug/m3,07/11/2005,22,UYMVD_E1,572831,6136774,Ciudad Vieja 1
165,UYMVD_2005_11_8_24,UYMVD_HN,24,HN,ug/m3,08/11/2005,12,UYMVD_E1,572831,6136774,Ciudad Vieja 1
166,UYMVD_2005_11_8_24,UYMVD_HN,24,HN,ug/m3,08/11/2005,27,UYMVD_E1,572831,6136774,Ciudad Vieja 1
167,UYMVD_2005_11_10_24,UYMVD_HN,24,HN,ug/m3,10/11/2005,17,UYMVD_E1,572831,6136774,Ciudad Vieja 1
168,UYMVD_2005_11_11_24,UYMVD_HN,24,HN,ug/m3,11/11/2005,0,UYMVD_E1,572831,6136774,Ciudad Vieja 1
169,UYMVD_2005_11_15_24,UYMVD_HN,24,HN,ug/m3,15/11/2005,17,UYMVD_E1,572831,6136774,Ciudad Vieja 1
170,UYMVD_2005_11_22_24,UYMVD_HN,24,HN,ug/m3,22/11/2005,12,UYMVD_E1,572831,6136774,Ciudad Vieja 1
171,UYMVD_2005_11_30_24,UYMVD_HN,24,HN,ug/m3,30/11/2005,0,UYMVD_E1,572831,6136774,Ciudad Vieja 1
172,UYMVD_2005_12_7_24,UYMVD_HN,24,HN,ug/m3,07/12/2005,6,UYMVD_E1,572831,6136774,Ciudad Vieja 1
173,UYMVD_2005_12_13_24,UYMVD_HN,24,HN,ug/m3,13/12/2005,18,UYMVD_E1,572831,6136774,Ciudad Vieja 1
174,UYMVD_2005_12_15_24,UYMVD_HN,24,HN,ug/m3,15/12/2005,0,UYMVD_E1,572831,6136774,Ciudad Vieja 1
175,UYMVD_2005_12_21_24,UYMVD_HN,24,HN,ug/m3,21/12/2005,0,UYMVD_E1,572831,6136774,Ciudad Vieja 1
176,UYMVD_2005_12_24_24,UYMVD_HN,24,HN,ug/m3,24/12/2005,0,UYMVD_E1,572831,6136774,Ciudad Vieja 1
177,UYMVD_2005_12_27_24,UYMVD_HN,24,HN,ug/m3,27/12/2005,0,UYMVD_E1,572831,6136774,Ciudad Vieja 1
178,UYMVD_2006_1_5_24,UYMVD_HN,24,HN,ug/m3,05/01/2006,17,UYMVD_E1,572831,6136774,Ciudad Vieja 1
179,UYMVD_2006_1_12_24,UYMVD_HN,24,HN,ug/m3,12/01/2006,19,UYMVD_E1,572831,6136774,Ciudad Vieja 1
180,UYMVD_2006_1_15_24,UYMVD_HN,24,HN,ug/m3,15/01/2006,15,UYMVD_E1,572831,6136774,Ciudad Vieja 1
181,UYMVD_2006_1_20_24,UYMVD_HN,24,HN,ug/m3,20/01/2006,18,UYMVD_E1,572831,6136774,Ciudad Vieja 1
182,UYMVD_2006_2_2_24,UYMVD_HN,24,HN,ug/m3,02/02/2006,19,UYMVD_E1,572831,6136774,Ciudad Vieja 1
183,UYMVD_2006_2_5_24,UYMVD_HN,24,HN,ug/m3,05/02/2006,8,UYMVD_E1,572831,6136774,Ciudad Vieja 1
184,UYMVD_2006_2_8_24,UYMVD_HN,24,HN,ug/m3,08/02/2006,16,UYMVD_E1,572831,6136774,Ciudad Vieja 1
185,UYMVD_2006_2_11_24,UYMVD_HN,24,HN,ug/m3,11/02/2006,21,UYMVD_E1,572831,6136774,Ciudad Vieja 1
186,UYMVD_2006_2_14_24,UYMVD_HN,24,HN,ug/m3,14/02/2006,38,UYMVD_E1,572831,6136774,Ciudad Vieja 1
187,UYMVD_2006_2_18_24,UYMVD_HN,24,HN,ug/m3,18/02/2006,19,UYMVD_E1,572831,6136774,Ciudad Vieja 1
188,UYMVD_2006_3_2_24,UYMVD_HN,24,HN,ug/m3,02/03/2006,31,UYMVD_E1,572831,6136774,Ciudad Vieja 1
189,UYMVD_2006_3_5_24,UYMVD_HN,24,HN,ug/m3,05/03/2006,5,UYMVD_E1,572831,6136774,Ciudad Vieja 1
190,UYMVD_2006_3_7_24,UYMVD_HN,24,HN,ug/m3,07/03/2006,32,UYMVD_E1,572831,6136774,Ciudad Vieja 1
191,UYMVD_2006_3_10_24,UYMVD_HN,24,HN,ug/m3,10/03/2006,19,UYMVD_E1,572831,6136774,Ciudad Vieja 1
192,UYMVD_2006_3_15_24,UYMVD_HN,24,HN,ug/m3,15/03/2006,22,UYMVD_E1,572831,6136774,Ciudad Vieja 1
193,UYMVD_2006_3_22_24,UYMVD_HN,24,HN,ug/m3,22/03/2006,25,UYMVD_E1,572831,6136774,Ciudad Vieja 1
194,UYMVD_2006_4_4_24,UYMVD_HN,24,HN,ug/m3,04/04/2006,48,UYMVD_E1,572831,6136774,Ciudad Vieja 1
195,UYMVD_2006_4_19_24,UYMVD_HN,24,HN,ug/m3,19/04/2006,31,UYMVD_E1,572831,6136774,Ciudad Vieja 1
196,UYMVD_2006_4_29_24,UYMVD_HN,24,HN,ug/m3,29/04/2006,11,UYMVD_E1,572831,6136774,Ciudad Vieja 1
197,UYMVD_2006_5_3_24,UYMVD_HN,24,HN,ug/m3,03/05/2006,17,UYMVD_E1,572831,6136774,Ciudad Vieja 1
