ID,feed_id,method_id,pollutant_averaging,pollutant_id,pollutant_unit,date,pollutant_value,station_id,X,Y,ID_estacion
3,UYMVD_2005_1_2_24,UYMVD_PTS,24,PTS,ug/m3,02/01/2005,31,UYMVD_E1,572452,6137044,Ciudad Vieja 2
4,UYMVD_2005_1_12_24,UYMVD_PTS,24,PTS,ug/m3,12/01/2005,51,UYMVD_E1,572452,6137044,Ciudad Vieja 2
5,UYMVD_2005_1_21_24,UYMVD_PTS,24,PTS,ug/m3,21/01/2005,62,UYMVD_E1,572452,6137044,Ciudad Vieja 2
6,UYMVD_2005_1_29_24,UYMVD_PTS,24,PTS,ug/m3,29/01/2005,101,UYMVD_E1,572452,6137044,Ciudad Vieja 2
7,UYMVD_2005_3_11_24,UYMVD_PTS,24,PTS,ug/m3,11/03/2005,51,UYMVD_E1,572452,6137044,Ciudad Vieja 2
8,UYMVD_2005_3_17_24,UYMVD_PTS,24,PTS,ug/m3,17/03/2005,44,UYMVD_E1,572452,6137044,Ciudad Vieja 2
9,UYMVD_2005_3_30_24,UYMVD_PTS,24,PTS,ug/m3,30/03/2005,38,UYMVD_E1,572452,6137044,Ciudad Vieja 2
10,UYMVD_2005_4_7_24,UYMVD_PTS,24,PTS,ug/m3,07/04/2005,36,UYMVD_E1,572452,6137044,Ciudad Vieja 2
11,UYMVD_2005_4_20_24,UYMVD_PTS,24,PTS,ug/m3,20/04/2005,42,UYMVD_E1,572452,6137044,Ciudad Vieja 2
12,UYMVD_2005_4_26_24,UYMVD_PTS,24,PTS,ug/m3,26/04/2005,99,UYMVD_E1,572452,6137044,Ciudad Vieja 2
13,UYMVD_2005_5_8_24,UYMVD_PTS,24,PTS,ug/m3,08/05/2005,64,UYMVD_E1,572452,6137044,Ciudad Vieja 2
14,UYMVD_2005_5_20_24,UYMVD_PTS,24,PTS,ug/m3,20/05/2005,38,UYMVD_E1,572452,6137044,Ciudad Vieja 2
15,UYMVD_2005_5_26_24,UYMVD_PTS,24,PTS,ug/m3,26/05/2005,50,UYMVD_E1,572452,6137044,Ciudad Vieja 2
16,UYMVD_2005_6_1_24,UYMVD_PTS,24,PTS,ug/m3,01/06/2005,34,UYMVD_E1,572452,6137044,Ciudad Vieja 2
17,UYMVD_2005_6_9_24,UYMVD_PTS,24,PTS,ug/m3,09/06/2005,4,UYMVD_E1,572452,6137044,Ciudad Vieja 2
18,UYMVD_2005_6_19_24,UYMVD_PTS,24,PTS,ug/m3,19/06/2005,1,UYMVD_E1,572452,6137044,Ciudad Vieja 2
19,UYMVD_2005_6_24_24,UYMVD_PTS,24,PTS,ug/m3,24/06/2005,78,UYMVD_E1,572452,6137044,Ciudad Vieja 2
20,UYMVD_2005_6_30_24,UYMVD_PTS,24,PTS,ug/m3,30/06/2005,49,UYMVD_E1,572452,6137044,Ciudad Vieja 2
21,UYMVD_2005_7_6_24,UYMVD_PTS,24,PTS,ug/m3,06/07/2005,19,UYMVD_E1,572452,6137044,Ciudad Vieja 2
22,UYMVD_2005_7_12_24,UYMVD_PTS,24,PTS,ug/m3,12/07/2005,56,UYMVD_E1,572452,6137044,Ciudad Vieja 2
23,UYMVD_2005_7_18_24,UYMVD_PTS,24,PTS,ug/m3,18/07/2005,31,UYMVD_E1,572452,6137044,Ciudad Vieja 2
24,UYMVD_2005_7_24_24,UYMVD_PTS,24,PTS,ug/m3,24/07/2005,40,UYMVD_E1,572452,6137044,Ciudad Vieja 2
25,UYMVD_2005_7_30_24,UYMVD_PTS,24,PTS,ug/m3,30/07/2005,85,UYMVD_E1,572452,6137044,Ciudad Vieja 2
26,UYMVD_2005_8_5_24,UYMVD_PTS,24,PTS,ug/m3,05/08/2005,49,UYMVD_E1,572452,6137044,Ciudad Vieja 2
27,UYMVD_2005_8_11_24,UYMVD_PTS,24,PTS,ug/m3,11/08/2005,49,UYMVD_E1,572452,6137044,Ciudad Vieja 2
28,UYMVD_2005_8_18_24,UYMVD_PTS,24,PTS,ug/m3,18/08/2005,49,UYMVD_E1,572452,6137044,Ciudad Vieja 2
29,UYMVD_2005_8_23_24,UYMVD_PTS,24,PTS,ug/m3,23/08/2005,98,UYMVD_E1,572452,6137044,Ciudad Vieja 2
30,UYMVD_2005_8_31_24,UYMVD_PTS,24,PTS,ug/m3,31/08/2005,17,UYMVD_E1,572452,6137044,Ciudad Vieja 2
31,UYMVD_2005_9_18_24,UYMVD_PTS,24,PTS,ug/m3,18/09/2005,26,UYMVD_E1,572452,6137044,Ciudad Vieja 2
32,UYMVD_2005_9_28_24,UYMVD_PTS,24,PTS,ug/m3,28/09/2005,46,UYMVD_E1,572452,6137044,Ciudad Vieja 2
33,UYMVD_2005_10_4_24,UYMVD_PTS,24,PTS,ug/m3,04/10/2005,23,UYMVD_E1,572452,6137044,Ciudad Vieja 2
34,UYMVD_2005_10_28_24,UYMVD_PTS,24,PTS,ug/m3,28/10/2005,100,UYMVD_E1,572452,6137044,Ciudad Vieja 2
35,UYMVD_2005_11_3_24,UYMVD_PTS,24,PTS,ug/m3,03/11/2005,81,UYMVD_E1,572452,6137044,Ciudad Vieja 2
36,UYMVD_2005_11_9_24,UYMVD_PTS,24,PTS,ug/m3,09/11/2005,35,UYMVD_E1,572452,6137044,Ciudad Vieja 2
37,UYMVD_2005_11_15_24,UYMVD_PTS,24,PTS,ug/m3,15/11/2005,14,UYMVD_E1,572452,6137044,Ciudad Vieja 2
