id_detector;id_carril;dsc_avenida;dsc_int_anterior;dsc_int_siguiente;latitud;longitud
1;3;Sarmiento;Requena;Rambla;-34.9153690;-56.1683580
2;2;Sarmiento;Requena;Rambla;-34.9153690;-56.1683580
3;1;Sarmiento;Requena;Rambla;-34.9153690;-56.1683580
5;2;Rambla;Morales;Jackson;-34.9144940;-56.1739940
6;1;Rambla;Morales;Jackson;-34.9144940;-56.1739940
7;3;Rambla;Morales;Jackson;-34.9144940;-56.1739940
9;2;Rambla;Errazquin;Sarmiento;-34.9165860;-56.1689890
10;1;Rambla;Errazquin;Sarmiento;-34.9165860;-56.1689890
12;3;Rambla;Errazquin;Sarmiento;-34.9165860;-56.1689890
19;2;Rambla;Montero;Solano Garcia;-34.9228610;-56.1521920
20;1;Rambla;Montero;Solano Garcia;-34.9228610;-56.1521920
22;2;Bv Espana;Ellauri;Benito Blanco;-34.9148970;-56.1504000
23;1;Bv Espana;Ellauri;Benito Blanco;-34.9148970;-56.1504000
25;2;Av Brasil;Ellauri;Benito Blanco;-34.9133890;-56.1500440
26;1;Av Brasil;Ellauri;Benito Blanco;-34.9133890;-56.1500440
28;2;Benito Blanco;21 de Setiembre;Bv Espana;-34.9158280;-56.1499000
29;1;Benito Blanco;21 de Setiembre;Bv Espana;-34.9158280;-56.1499000
31;3;Bv Espana;Rambla;Benito Blanco;-34.9151190;-56.1490440
32;2;Bv Espana;Rambla;Benito Blanco;-34.9151190;-56.1490440
33;1;Bv Espana;Rambla;Benito Blanco;-34.9151190;-56.1490440
35;3;Rambla;Montero;Bv Espana;-34.9164170;-56.1489420
36;2;Rambla;Montero;Bv Espana;-34.9164170;-56.1489420
37;1;Rambla;Montero;Bv Espana;-34.9164170;-56.1489420
39;2;Rambla;L A de Herrera;Buxareo;-34.9096000;-56.1409440
40;1;Rambla;L A de Herrera;Buxareo;-34.9096000;-56.1409440
42;2;26 de Marzo;Bonavita;Tezanos;-34.9052580;-56.1341530
43;1;26 de Marzo;Bonavita;Tezanos;-34.9052580;-56.1341530
45;2;Rambla;L A de Herrera;26 de Marzo;-34.9063330;-56.1330780
46;1;Rambla;L A de Herrera;26 de Marzo;-34.9063330;-56.1330780
47;3;Rambla;L A de Herrera;26 de Marzo;-34.9063330;-56.1330780
49;2;Rambla;Pereyra;Paiva;-34.9049580;-56.1284640
50;1;Rambla;Pereyra;Paiva;-34.9049580;-56.1284640
51;3;Rambla;Pereyra;Paiva;-34.9049580;-56.1284640
53;2;Solano Lopez;Rivera;Rambla;-34.8974000;-56.1202890
54;1;Solano Lopez;Rivera;Rambla;-34.8974000;-56.1202890
56;2;Rambla;Batlle y Ordonez;Solano Lopez;-34.8988720;-56.1210190
57;1;Rambla;Batlle y Ordonez;Solano Lopez;-34.8988720;-56.1210190
59;2;Rambla;Hipolito Yrigoyen;9 de Junio;-34.8959560;-56.1095220
60;1;Rambla;Hipolito Yrigoyen;9 de Junio;-34.8959560;-56.1095220
62;2;Rambla;Arrascaeta;Hipolito Yrigoyen;-34.8959190;-56.1094470
63;1;Rambla;Arrascaeta;Hipolito Yrigoyen;-34.8959190;-56.1094470
64;3;Rambla;Arrascaeta;Hipolito Yrigoyen;-34.8959190;-56.1094470
66;2;Rambla;Gral Paz;Gallinal;-34.8951720;-56.0891580
67;1;Rambla;Gral Paz;Gallinal;-34.8951720;-56.0891580
69;2;L A de Herrera;Placido Ellauri;26 de Marzo;-34.9051760;-56.1371270
70;1;L A de Herrera;Placido Ellauri;26 de Marzo;-34.9051760;-56.1371270
72;1;Benito Blanco;Buxareo;Julio Cesar;-34.9069560;-56.1402810
73;1;L A de Herrera;Rambla;26 de Marzo;-34.9061910;-56.1366980
74;2;26 de Marzo;Rambla;L A de Herrera;-34.9053250;-56.1347610
75;1;26 de Marzo;Rambla;L A de Herrera;-34.9053250;-56.1347610
77;2;Albo;8 de Octubre;Av Italia;-34.8913670;-56.1589570
78;1;Albo;8 de Octubre;Av Italia;-34.8913670;-56.1589570
80;4;Albo;8 de Octubre;Av Italia;-34.8913670;-56.1589570
81;3;Albo;8 de Octubre;Av Italia;-34.8913670;-56.1589570
82;3;Centenario;Jaime Cibils;Av Italia;-34.8906340;-56.1553650
83;1;Centenario;Jaime Cibils;Av Italia;-34.8906340;-56.1553650
85;2;Centenario;Jaime Cibils;Av Italia;-34.8906340;-56.1553650
86;2;Ricaldoni;Ponce;Av Italia;-34.8927990;-56.1588190
87;1;Ricaldoni;Ponce;Av Italia;-34.8927990;-56.1588190
89;3;Ricaldoni;Alfredo Navarro;Av Italia;-34.8917940;-56.1546990
90;1;Ricaldoni;Alfredo Navarro;Av Italia;-34.8917940;-56.1546990
91;2;Ricaldoni;Alfredo Navarro;Av Italia;-34.8917940;-56.1546990
93;2;Av Italia;Avelino Miranda;Albo;-34.8925570;-56.1597330
94;1;Av Italia;Avelino Miranda;Albo;-34.8925570;-56.1597330
96;3;Av Italia;Avelino Miranda;Albo;-34.8925570;-56.1597330
97;2;Av Italia;L A de Herrera;Las Heras;-34.8896560;-56.1496120
98;1;Av Italia;L A de Herrera;Las Heras;-34.8896560;-56.1496120
99;3;Av Italia;L A de Herrera;Las Heras;-34.8896560;-56.1496120
101;1;Batlle y Ordonez;Malbajar;Av Italia;-34.8858830;-56.1389180
102;2;Batlle y Ordonez;Malbajar;Av Italia;-34.8858830;-56.1389180
104;1;Comercio;8 de Octubre;Av Italia;-34.8861700;-56.1309660
105;2;L A de Herrera;Rep Dominicana;Av Italia;-34.8883790;-56.1478440
106;1;L A de Herrera;Rep Dominicana;Av Italia;-34.8883790;-56.1478440
108;2;Batlle y Ordonez;Ramon Anador;Av Italia;-34.8874730;-56.1368200
109;1;Batlle y Ordonez;Ramon Anador;Av Italia;-34.8874730;-56.1368200
111;1;Solano Lopez;Rivera;Av Italia;-34.8875120;-56.1291070
112;2;Av Italia;Las Heras;L A de Herrera;-34.8892740;-56.1484410
113;1;Av Italia;Las Heras;L A de Herrera;-34.8892740;-56.1484410
